t_s,gap_mm,hall_mV,adc16
16.730,388,1,11
16.759,389,0,3
16.791,384,0,5
16.820,386,0,0
16.853,387,5,64
16.881,388,0,1
16.914,374,22,280
16.943,382,0,1
16.976,375,15,198
17.004,385,0,2
17.037,384,7,93
17.066,379,0,6
17.099,380,0,5
17.131,376,0,4
17.161,370,2412,31323
17.193,381,2412,31332
17.222,383,2414,31353
17.254,381,2415,31366
17.283,375,2416,31376
17.316,373,2419,31415
17.345,381,2420,31425
17.378,380,2420,31431
17.406,386,2421,31438
17.439,378,2422,31458
17.471,382,2425,31493
17.500,380,2425,31490
17.533,384,2425,31490
17.562,380,2425,31491
17.595,380,2424,31483
17.624,378,2424,31485
17.656,381,2424,31484
17.685,385,2425,31489
17.718,377,2424,31485
17.747,367,2425,31500
17.779,378,2426,31507
17.808,377,2426,31510
17.841,379,2427,31517
17.873,376,2426,31513
17.902,381,2426,31512
17.934,373,2427,31515
17.963,387,2426,31513
17.995,381,2426,31513
18.024,375,2427,31515
18.057,377,2427,31517
18.086,380,2427,31518
18.118,380,2427,31519
18.147,372,2427,31519
18.180,373,2427,31519
18.208,374,2427,31515
18.241,373,2426,31514
18.274,374,2427,31516
18.303,368,2425,31495
18.335,382,2424,31486
18.364,380,2424,31479
18.397,377,2426,31513
18.426,374,2427,31520
18.458,381,2429,31541
18.487,374,2433,31597
18.520,377,2433,31603
18.548,375,2433,31600
18.581,378,2432,31585
18.610,374,2432,31582
18.643,374,2431,31575
18.675,380,2430,31566
18.704,366,2430,31563
18.737,373,2431,31578
18.766,375,2432,31587
18.798,378,2432,31589
18.827,376,2433,31599
18.860,376,2436,31634
18.888,367,2437,31649
18.921,375,2437,31652
18.950,377,2437,31655
18.983,379,2439,31678
19.011,374,2440,31692
19.044,379,2442,31712
19.073,377,2442,31715
19.106,374,2441,31709
19.138,377,2442,31719
19.167,378,2443,31731
19.199,379,2446,31765
19.228,378,2446,31766
19.261,379,2445,31756
19.290,379,2445,31751
19.323,374,2442,31719
19.351,378,2442,31711
19.384,383,2440,31685
19.413,389,2439,31675
19.445,382,2440,31695
19.474,384,2441,31705
19.507,386,2439,31673
19.539,389,2441,31697
19.569,383,2437,31651
19.601,382,2428,31529
19.630,384,2425,31490
19.662,384,2421,31442
19.691,377,2422,31462
19.724,386,2430,31556
19.753,372,2438,31662
19.785,373,2440,31687
19.814,376,2438,31657
19.847,378,2443,31727
19.875,378,2447,31780
19.908,374,2452,31851
19.941,371,2460,31951
19.970,365,2461,31966
20.002,363,2461,31968
20.031,365,2464,31997
20.064,358,2466,32022
20.093,363,2470,32080
20.126,360,2473,32119
20.154,358,2475,32142
20.187,354,2471,32098
20.216,350,2474,32126
20.248,360,2475,32146
20.277,345,2475,32150
20.310,352,2476,32155
20.338,352,2476,32162
20.371,349,2476,32162
20.404,339,2476,32162
20.433,347,2480,32205
20.465,336,2481,32217
20.494,334,2480,32211
20.526,327,2481,32225
20.555,329,2483,32248
20.588,331,2485,32273
20.617,323,2482,32231
20.650,322,2485,32269
20.678,316,2486,32284
20.711,314,2486,32286
20.740,314,2485,32280
20.773,305,2486,32286
20.805,303,2486,32283
20.834,299,2486,32285
20.867,297,2486,32286
20.896,300,2486,32285
20.928,298,2486,32287
20.957,297,2486,32284
20.990,290,2486,32286
21.019,286,2486,32284
21.052,286,2486,32283
21.080,277,2486,32285
21.113,274,2486,32288
21.142,276,2486,32284
21.175,266,2486,32286
21.203,262,2486,32286
21.235,262,2486,32286
21.264,259,2486,32281
21.297,254,2485,32280
21.329,245,2486,32285
21.358,234,2486,32283
21.391,230,2486,32286
21.420,222,2486,32284
21.453,229,2485,32278
21.482,245,2486,32282
21.514,325,2485,32280
21.543,385,2486,32287
21.576,383,2486,32285
21.605,401,2486,32285
21.638,376,2486,32286
21.666,373,2485,32279
21.699,370,2486,32283
21.731,380,2486,32286
21.760,379,2486,32284
