t_s,phase,gap_mm,ref_mm,pwm
3.789,post,27.8,30.2,104
3.810,post,28.7,30.2,136
3.830,post,27.6,30.2,91
3.851,post,29.4,30.2,155
3.871,post,27.2,30.2,81
3.891,post,31.7,30.2,226
3.912,post,26.6,30.2,60
3.933,post,27.5,30.2,96
3.953,post,26.8,30.2,88
3.973,post,27.5,30.2,109
3.994,post,27.9,30.2,114
4.015,post,28.8,30.2,143
4.034,post,28.3,30.2,120
4.055,post,28.5,30.2,111
4.075,post,27.3,30.2,93
4.096,post,27.3,30.2,93
4.116,post,27.5,30.2,104
4.137,post,27.9,30.2,114
4.157,post,27.8,30.2,109
4.177,post,29.2,30.2,151
4.198,post,27.2,30.2,81
4.218,post,29.0,30.2,145
4.239,post,27.6,30.2,100
4.259,post,29.2,30.2,146
4.280,post,27.8,30.2,107
4.300,post,32.4,30.2,232
4.321,post,26.1,30.2,43
4.341,post,26.6,30.2,80
4.362,post,26.8,30.2,95
4.382,post,27.7,30.2,120
4.404,post,27.7,30.2,108
4.424,post,29.3,30.2,157
4.444,post,28.5,30.2,89
4.465,post,28.1,30.2,115
4.486,post,26.8,30.2,79
4.506,post,27.8,30.2,120
4.526,post,27.0,30.2,87
4.547,post,27.6,30.2,105
4.567,post,30.6,30.2,193
4.588,post,26.6,30.2,59
4.608,post,27.9,30.2,111
4.629,post,27.2,30.2,95
4.649,post,28.8,30.2,137
4.669,post,27.3,30.2,96
4.690,post,29.5,30.2,158
4.710,post,27.7,30.2,99
4.732,post,29.3,30.2,145
4.752,post,28.0,30.2,111
4.772,post,29.9,30.2,135
4.793,post,26.0,30.2,51
4.813,post,26.1,30.2,73
4.834,post,27.0,30.2,105
4.854,post,27.4,30.2,113
4.874,post,27.9,30.2,120
4.895,post,30.8,30.2,192
4.916,post,27.2,30.2,80
4.936,post,32.5,30.2,240
4.956,post,26.4,30.2,51
4.977,post,27.1,30.2,90
4.997,post,26.1,30.2,71
5.017,post,26.9,30.2,103
5.038,post,28.3,30.2,132
5.058,post,27.7,30.2,108
5.079,post,30.2,30.2,168
5.099,post,28.3,30.2,116
5.120,post,28.5,30.2,81
5.140,post,26.9,30.2,80
5.161,post,27.0,30.2,92
5.182,post,27.2,30.2,102
5.202,post,27.7,30.2,114
5.223,post,31.0,30.2,203
5.243,post,26.8,30.2,66
5.263,post,31.1,30.2,204
5.284,post,26.8,30.2,67
5.305,post,28.1,30.2,113
5.325,post,26.7,30.2,86
5.345,post,27.9,30.2,124
5.366,post,28.3,30.2,127
5.387,post,27.7,30.2,104
5.407,post,29.5,30.2,154
5.427,post,28.5,30.2,118
5.448,post,28.3,30.2,108
5.468,post,28.1,30.2,119
5.489,post,29.6,30.2,138
5.509,post,26.6,30.2,70
5.530,post,27.1,30.2,95
5.550,post,27.6,30.2,109
5.571,post,27.6,30.2,107
5.591,post,27.5,30.2,102
5.612,post,30.6,30.2,196
5.632,post,26.7,30.2,53
5.652,post,28.4,30.2,129
5.673,post,27.4,30.2,98
5.694,post,29.4,30.2,157
5.714,post,26.6,30.2,69
5.735,post,30.2,30.2,188
5.756,post,26.5,30.2,50
5.776,post,28.1,30.2,122
5.796,post,27.0,30.2,85
5.817,post,29.0,30.2,150
5.838,post,26.8,30.2,77
5.858,post,30.5,30.2,195
5.878,post,27.1,30.2,77
5.899,post,30.1,30.2,146
5.919,post,26.1,30.2,53
5.939,post,26.5,30.2,84
5.960,post,26.2,30.2,80
5.981,post,26.9,30.2,103
6.001,post,28.7,30.2,147
6.021,post,27.8,30.2,97
6.042,post,33.6,30.2,255
6.062,post,26.5,30.2,44
6.082,post,32.4,30.2,235
6.103,post,25.8,30.2,36
6.124,post,25.8,30.2,65
6.144,post,25.7,30.2,72
6.165,post,25.9,30.2,81
6.185,post,27.6,30.2,128
6.206,post,29.1,30.2,152
6.226,post,32.4,30.2,243
6.246,post,26.9,30.2,38
6.267,post,34.6,30.2,255
6.288,post,26.1,30.2,29
6.308,post,26.8,30.2,82
6.328,post,26.6,30.2,88
6.349,post,27.7,30.2,121
6.370,post,27.5,30.2,100
6.390,post,29.2,30.2,154
6.410,post,27.6,30.2,91
6.430,post,30.0,30.2,172
6.451,post,27.0,30.2,78
6.471,post,31.0,30.2,200
6.491,post,26.4,30.2,60
6.512,post,28.5,30.2,132
6.533,post,27.2,30.2,95
6.553,post,28.6,30.2,128
6.574,post,27.9,30.2,111
6.594,post,31.1,30.2,201
6.615,post,26.6,30.2,55
6.636,post,28.7,30.2,129
6.656,post,27.2,30.2,90
6.677,post,27.6,30.2,107
6.697,post,27.2,30.2,100
6.721,post,27.6,30.2,109
6.741,post,28.3,30.2,127
6.762,post,27.3,30.2,95
6.782,post,28.4,30.2,121
6.803,post,28.3,30.2,124
6.823,post,29.2,30.2,135
6.844,post,27.6,30.2,99
6.864,post,27.7,30.2,96
6.885,post,27.2,30.2,94
6.905,post,27.9,30.2,115
6.925,post,28.2,30.2,122
6.946,post,27.9,30.2,103
6.967,post,28.4,30.2,125
6.987,post,29.0,30.2,132
7.008,post,28.2,30.2,117
7.028,post,28.1,30.2,100
7.048,post,28.6,30.2,132
7.069,post,27.2,30.2,84
7.090,post,28.0,30.2,118
7.110,post,27.7,30.2,106
7.130,post,28.6,30.2,131
7.151,post,27.5,30.2,101
7.172,post,27.8,30.2,111
7.192,post,27.8,30.2,105
7.212,post,28.1,30.2,118
7.233,post,28.2,30.2,118
7.253,post,28.2,30.2,120
7.274,post,28.1,30.2,109
7.294,post,29.4,30.2,157
